src_ip,dst_ip,src_port,dst_port,protocol,bytes,packets
192.168.1.114,192.168.1.237,12431,25,TCP,3340,42
192.168.0.120,10.0.0.231,16270,21,UDP,10492,10
192.168.0.77,216.125.193.198,18094,80,TCP,1485,31
10.0.0.214,172.16.0.204,30844,3389,TCP,747,7
10.0.0.147,102.19.140.93,18636,9999,TCP,390251,1425
14.156.16.139,172.16.0.137,51027,443,TCP,611984,11370
10.0.0.160,192.168.0.78,32928,22,TCP,1009,23
95.22.148.239,192.168.1.42,10858,53,TCP,1906730,28038
192.168.1.216,159.52.14.58,4158,80,TCP,305,14
10.0.0.181,192.168.1.25,13153,21,TCP,3789,33
192.168.0.223,195.216.138.65,42684,53,TCP,1067,44
102.245.62.169,192.168.0.156,6057,80,UDP,1599667,35742
192.168.0.194,25.51.155.206,49270,25,UDP,4992,19
10.0.0.254,172.16.0.65,24898,143,TCP,3131,9
10.0.0.31,87.172.55.185,3988,4444,TCP,127297,1145
192.168.1.113,26.25.195.188,61842,110,TCP,1159,93
192.168.1.228,192.168.0.70,48428,80,UDP,1667,19
167.232.194.83,10.0.0.173,29767,80,UDP,843411,11739
123.68.93.186,192.168.1.39,59717,511,TCP,191,3
10.0.0.209,192.168.1.240,46128,80,TCP,6316,21
172.16.0.75,26.252.188.171,19058,110,TCP,1548,4
192.168.1.229,78.159.88.145,29585,25,TCP,10179,93
172.16.0.197,172.16.0.85,5249,25,UDP,9102,16
192.168.0.57,172.16.0.250,30674,3389,TCP,18359,26
10.0.0.26,60.26.169.6,15705,22,TCP,4701,41
10.0.0.60,117.161.59.178,16821,31337,TCP,710434,522
172.16.0.178,176.183.239.91,29051,143,TCP,6817,28
33.116.89.38,192.168.1.60,8524,22,TCP,577,26
192.168.0.220,192.168.1.90,64437,143,TCP,8269,66
10.0.0.52,196.30.71.53,36877,25,TCP,59205,9
130.225.162.11,192.168.0.16,63394,46829,TCP,106,2
192.168.1.113,172.16.0.224,5668,3389,UDP,916,5
192.168.0.30,40.61.49.64,14412,443,UDP,6952,7
192.168.0.163,192.168.1.10,15351,8080,OTHER,774,5
172.16.0.49,109.84.157.244,58029,3389,TCP,1713,23
192.168.0.163,37.123.87.131,49629,21,TCP,2447,45
25.105.86.8,192.168.1.246,59393,3389,TCP,213,20
172.16.0.67,10.0.0.196,58476,143,UDP,1863,20
4.143.140.22,192.168.0.34,17403,53,UDP,1582382,19390
213.16.76.98,192.168.1.245,6090,3389,TCP,1357,21
192.168.1.113,47.132.141.67,57978,31337,TCP,351582,554
172.16.0.73,104.18.20.87,43280,80,OTHER,579,13
192.168.0.154,90.107.97.249,45564,3389,TCP,2244,50
149.40.141.230,172.16.0.15,41022,53,UDP,1255377,7261
192.168.0.146,172.16.0.25,53762,80,UDP,8774,5
